index,gate,up,gpu,ref,flagged
121355,-0x1.4783dp-128,0x1.e63bdep-4,-0x0p+0,-0x1.37088p-132,0
121356,0x1.225f4p-131,-0x1.c9ff14p-1,-0x0p+0,-0x1.03be8p-132,0
121373,-0x1.5e7a86p-110,0x1.0c154p-1,-0x1.6f055ap-112,-0x1.6f055cp-112,1
121380,-0x1.331b88p-125,0x1.a67a62p-2,-0x0p+0,-0x1.fad23p-128,1
121382,0x1.4e774p-130,-0x1.73ed8ap-1,-0x0p+0,-0x1.e5edp-132,0
121399,0x1.1e86p-133,-0x1.668676p+0,-0x0p+0,-0x1.9146p-134,0
121404,0x1.98d42ap-104,0x1.e72548p-2,0x1.84fb94p-106,0x1.84fb92p-106,1
121422,-0x1.3f2fd2p-114,0x1.0ff47ap-1,-0x1.53146ep-116,-0x1.53147p-116,1
121446,-0x1.0ed25ap-108,-0x1.3b7346p-4,0x1.4db6c4p-113,0x1.4db6c8p-113,1
121488,-0x1.a493b2p-104,0x1.fa409p-2,-0x1.9fdafep-106,-0x1.9fdbp-106,1
121496,0x1.d595c2p-118,0x1.e58bd6p+0,0x1.bd529ep-118,0x1.bd529cp-118,1
121502,-0x1.1049c6p-111,-0x1.62ccd8p+0,0x1.795fe2p-112,0x1.795fe4p-112,1
121511,0x1.929bp-131,-0x1.532ac6p+0,-0x0p+0,-0x1.0ab34p-131,0
121536,-0x1.f4c58ep-117,0x1.ec5e26p+0,-0x1.e191eap-117,-0x1.e191ecp-117,1
121590,0x1.17378p-132,-0x1.ad846p-2,-0x0p+0,-0x1.d478p-135,0
121605,-0x1.16694ep-126,-0x1.8060bp-2,0x0p+0,0x1.a2072p-129,1
121620,-0x1.168e06p-120,0x1.d3c1a4p-4,-0x1.fcf7c4p-125,-0x1.fcf7c8p-125,1
121623,0x1.f19a92p-111,-0x1.a0748ap-1,-0x1.94bedcp-112,-0x1.94bedap-112,1
121677,0x1.16dcb2p-124,-0x1.39cb8ap-1,-0x1.55d19p-126,-0x1.55d18cp-126,1
121678,-0x1.9b4baap-107,-0x1.d361b2p-10,0x1.7773fcp-117,0x1.7773fep-117,1
121704,0x1.0167f2p-108,0x1.4c2426p-4,0x1.4df72ap-113,0x1.4df726p-113,1
121705,0x1.caf91ep-125,0x1.cbed1ap-1,0x1.9c4ae2p-126,0x1.9c4aep-126,1
121792,0x1.ac5cap-129,-0x1.62b13ep+0,-0x0p+0,-0x1.28c05p-129,0
