index,gate,up,gpu,ref,flagged
229152,-0x1.0cdd16p-104,-0x1.2b4cacp+0,0x1.3a56bcp-105,0x1.3a56bep-105,1
229155,-0x1.d6ca84p-124,0x1.5e622cp-3,-0x0p+0,-0x1.422eb4p-127,1
229170,0x1.4a50dp-129,-0x1.cdaaacp+0,-0x0p+0,-0x1.29d7dp-129,0
229177,-0x1.12581ap-122,0x1.6cbd8ap+0,-0x1.86e062p-123,-0x1.86e064p-123,1
229185,-0x1.0886cep-124,0x1.00d85cp+1,-0x1.09665cp-124,-0x1.09665ep-124,1
229193,0x1.8746ap-129,-0x1.607d56p+1,-0x0p+0,-0x1.0d6058p-128,0
229195,-0x1.c564acp-127,-0x1.987aap-3,0x0p+0,0x1.69b8ep-130,0
229197,-0x1.8d90e6p-112,-0x1.e16342p+0,0x1.75cbbp-112,0x1.75cbb2p-112,1
229210,0x1.95e5ecp-127,-0x1.c30ddep-2,-0x0p+0,-0x1.65951p-129,0
229214,-0x1.59b7b6p-107,-0x1.85ce8cp+0,0x1.07358ap-107,0x1.07358cp-107,1
229245,-0x1.7c9abep-118,-0x1.e31212p-2,0x1.671968p-120,0x1.67196ap-120,1
229269,0x1.6e48p-133,-0x1.798022p-1,-0x0p+0,-0x1.0e1p-134,0
229296,0x1.08d646p-121,0x1.629e44p+0,0x1.6edc0ap-122,0x1.6edc08p-122,1
229305,0x1.ce564p-131,0x1.ec4228p-1,0x0p+0,0x1.bc828p-132,0
229311,0x1.aec402p-122,0x1.cf231ep-3,0x1.85a7cep-125,0x1.85a7ccp-125,1
229329,-0x1.9df1b2p-123,0x1.e94e76p-1,-0x1.8b98c4p-124,-0x1.8b98c6p-124,1
229349,0x1.a8c3e6p-112,-0x1.f00214p-3,-0x1.9b7f82p-115,-0x1.9b7f8p-115,1
229362,0x1.64ae4p-131,-0x1.fc827cp-1,-0x0p+0,-0x1.623f8p-132,0
229372,0x1.0b9bp-131,0x1.c8ed5ap-3,0x0p+0,0x1.dda4p-135,0
229381,-0x1.efb852p-119,-0x1.f5390ap-1,0x1.e54914p-120,0x1.e54916p-120,1
229386,0x1.7f80a4p-127,-0x1.08362ap-3,-0x0p+0,-0x1.8bcdcp-131,0
229388,-0x1.eabf06p-116,-0x1.0d628cp+0,0x1.0233dp-116,0x1.0233d2p-116,1
229390,-0x1.9ab5cp-131,-0x1.0e6d8ep+1,0x0p+0,0x1.b1dbcp-131,0
229392,-0x1.23e49ep-117,0x1.1b94bep+0,-0x1.435752p-118,-0x1.435754p-118,1
229396,-0x1.15306p-128,-0x1.6cf01ep+0,0x0p+0,0x1.8b24cp-129,0
229397,0x1.badd76p-124,-0x1.8aa68cp-1,-0x1.555c7cp-125,-0x1.555c7ap-125,1
229406,-0x1.bf0c18p-126,-0x1.421188p-1,0x0p+0,0x1.1935e8p-127,1
229409,-0x1.763496p-112,0x1.55b6bcp-1,-0x1.f37f26p-114,-0x1.f37f28p-114,1
229412,0x1.60a7dap-108,0x1.471374p-1,0x1.c29136p-110,0x1.c29134p-110,1
229415,-0x1.19e04ep-122,0x1.c71b7p-3,-0x1.f51bdep-126,-0x1.f51bep-126,1
229431,0x1.bfadcep-124,0x1.4486aep-3,0x0p+0,0x1.1bc1cp-127,1
229452,0x1.96e856p-126,-0x1.cdceep-1,-0x0p+0,-0x1.6f049cp-127,1
229464,-0x1.b1afap-130,-0x1.0c6a1ep-2,0x0p+0,0x1.c6b7p-133,0
229491,-0x1.a053f6p-121,-0x1.13df5ep+1,0x1.c0a572p-121,0x1.c0a574p-121,1
229506,-0x1.4ef20ap-120,-0x1.fec7ap-1,0x1.4e25aep-121,0x1.4e25bp-121,1
229543,0x1.6146dap-109,0x1.4070f6p-3,0x1.ba3476p-113,0x1.ba3472p-113,1
229559,0x1.ec1542p-125,0x1.f71708p-2,0x0p+0,0x1.e38504p-127,1
229562,-0x1.51ab4ep-111,0x1.657b66p+0,-0x1.d786a4p-112,-0x1.d786a8p-112,1
229570,-0x1.877506p-124,-0x1.164342p+0,0x1.a97feap-125,0x1.a97feep-125,1
229580,0x1.837f62p-109,0x1.234776p-6,0x1.b8e5fap-116,0x1.b8e5f8p-116,1
229592,-0x1.a38c8ep-114,0x1.3f8986p+0,-0x1.05d6c2p-114,-0x1.05d6c4p-114,1
229636,-0x1.aad72ep-108,-0x1.209036p-3,0x1.e12284p-112,0x1.e12286p-112,1
229638,-0x1.cb5caap-107,-0x1.b255b6p+0,0x1.85ae7p-107,0x1.85ae72p-107,1
229669,0x1.7ecddep-114,0x1.cd7972p-1,0x1.59072cp-115,0x1.59072ap-115,1
229671,-0x1.5b1dp-133,0x1.2b0b2cp-1,-0x0p+0,-0x1.9578p-135,0
229683,0x1.1104a2p-120,-0x1.012bc2p-3,-0x1.124454p-124,-0x1.124452p-124,1
229700,-0x1.1ee026p-113,0x1.a4862ep-2,-0x1.d73e18p-116,-0x1.d73e1cp-116,1
229736,-0x1.3604b2p-120,0x1.9434cep+0,-0x1.e97f58p-121,-0x1.e97f5cp-121,1
229741,0x1.3db5p-132,-0x1.7476acp+0,-0x0p+0,-0x1.ce3ep-133,0
229750,0x1.954ce2p-112,0x1.474eeap-2,0x1.031914p-114,0x1.031912p-114,1
229758,0x1.8d6e9ap-120,-0x1.bfb8fp-2,-0x1.5b89ap-122,-0x1.5b899ep-122,1
229764,0x1.8e1cd2p-116,-0x1.212282p-3,-0x1.c1a436p-120,-0x1.c1a434p-120,1
229771,0x1.8b3576p-120,0x1.4aed3cp+0,0x1.fee12ap-121,0x1.fee128p-121,1
229775,0x1.df92bep-112,-0x1.0455cep-1,-0x1.e7b1c8p-114,-0x1.e7b1c6p-114,1
229776,0x1.1552ap-130,-0x1.da6e5p-1,-0x0p+0,-0x1.00f94p-131,0
229778,0x1.bd8cap-130,-0x1.bdebfcp-2,-0x0p+0,-0x1.840cp-132,0
229780,0x1.129dfap-121,0x1.fc68fcp-3,0x1.10b11p-124,0x1.10b10ep-124,1
229800,-0x1.2889c2p-115,0x1.b606c8p-1,-0x1.fb638ap-117,-0x1.fb638cp-117,1
229809,-0x1.3c0e7ap-123,0x1.32bba4p-1,-0x1.7ab0f4p-125,-0x1.7ab0f6p-125,1
229812,0x1.6ae53cp-125,-0x1.38792p-1,-0x0p+0,-0x1.baf314p-127,1
229820,0x1.107662p-113,0x1.4bd5c4p+0,0x1.612c96p-114,0x1.612c94p-114,1
229859,0x1.b9d66p-128,-0x1.9b0438p-1,-0x0p+0,-0x1.62b14p-129,0
229865,-0x1.c2a1p-130,0x1.81bf62p-2,-0x0p+0,-0x1.53828p-132,0
229867,-0x1.7c2c3p-129,-0x1.b078fep-2,0x0p+0,0x1.411f4p-131,0
229873,-0x1.fd0998p-125,0x1.94395ap-6,-0x0p+0,-0x1.91e28p-131,1
229875,0x1.260e46p-119,-0x1.87a202p-1,-0x1.c1d9e8p-121,-0x1.c1d9e4p-121,1
229876,0x1.3c1b0ep-112,0x1.ddad3p-1,0x1.26ea24p-113,0x1.26ea22p-113,1
229878,0x1.579a4p-131,0x1.c23db6p-2,0x0p+0,0x1.2e28p-133,0
229889,0x1.c95fdap-121,0x1.118902p+0,0x1.e8b402p-122,0x1.e8b4p-122,1
229892,0x1.1d11ep-130,0x1.3e1e9p+0,0x0p+0,0x1.623e8p-131,0
229913,0x1.d45e24p-125,-0x1.704c32p-2,-0x0p+0,-0x1.50e95cp-127,1
229947,0x1.297676p-116,0x1.98b59ep-2,0x1.dae7d8p-119,0x1.dae7d4p-119,1
229987,0x1.22e7ap-130,0x1.499778p+0,0x0p+0,0x1.7687cp-131,0
229991,-0x1.99b25ep-123,-0x1.57141ap-1,0x1.128712p-124,0x1.128714p-124,1
230003,0x1.9ae6fp-129,0x1.c2deep+0,0x0p+0,0x1.69d7ep-129,0
230031,-0x1.ebcea2p-111,-0x1.563caep-1,0x1.48bd4ep-112,0x1.48bd5p-112,1
230032,-0x1.633952p-112,-0x1.e4c238p-1,0x1.5052eep-113,0x1.5052fp-113,1
230047,0x1.2caep-133,0x1.8b729cp-2,0x0p+0,0x1.d078p-136,0
230051,0x1.e8673p-126,-0x1.d4409ep+0,-0x1.d4409ep-126,-0x1.beabf6p-126,1
230064,0x1.c67ad8p-128,-0x1.5e085ep-1,-0x0p+0,-0x1.36b57p-129,0
230076,0x1.aab51ap-117,-0x1.68647p-1,-0x1.2c5b0cp-118,-0x1.2c5b0ap-118,1
230080,-0x1.263772p-116,0x1.d7c0cap-2,-0x1.0f16c8p-118,-0x1.0f16cap-118,1
230084,0x1.9022bp-127,-0x1.635962p-3,-0x0p+0,-0x1.15b5ep-130,0
230085,-0x1.63cfcap-114,0x1.168992p+0,-0x1.8322d8p-115,-0x1.8322dap-115,1
230097,-0x1.187962p-121,0x1.f44346p+0,-0x1.120b62p-121,-0x1.120b64p-121,1
230099,-0x1.13f74ap-119,-0x1.055658p-2,0x1.19b83p-122,0x1.19b832p-122,1
230132,0x1.ce5e32p-126,0x1.a0953p-1,0x0p+0,0x1.78334p-127,1
230165,0x1.1bba5p-129,-0x1.6e5192p+0,-0x0p+0,-0x1.95feap-130,0
230190,-0x1.17c11p-129,-0x1.520f64p+0,0x0p+0,0x1.716dap-130,0
230198,0x1.75b8fcp-126,0x1.119b76p-3,0x0p+0,0x1.8f6d4p-130,1
230207,0x1.397fe2p-118,0x1.807c88p-3,0x1.d6d856p-122,0x1.d6d854p-122,1
230209,0x1.64d41ap-112,0x1.95f87cp-4,0x1.1aeef6p-116,0x1.1aeef4p-116,1
230228,0x1.321e8p-131,0x1.2fb85ep-2,0x0p+0,0x1.6b2ep-134,0
230232,0x1.09904ep-111,-0x1.878158p-2,-0x1.962198p-114,-0x1.962194p-114,1
230252,0x1.f31a16p-106,-0x1.57a196p+0,-0x1.4ef98p-106,-0x1.4ef97ep-106,1
230258,0x1.00e6e8p-127,0x1.53af7p-2,0x0p+0,0x1.54e1ep-130,0
230294,0x1.bb8f8p-131,0x1.d5b34p-2,0x0p+0,0x1.96eap-133,0
230304,-0x1.77e0bap-107,0x1.6285a2p-2,-0x1.04447ap-109,-0x1.04447cp-109,1
230316,-0x1.9488ep-130,0x1.3832p-2,-0x0p+0,-0x1.ed56p-133,0
230317,0x1.7fc366p-106,-0x1.49fa8ap+0,-0x1.eea9b4p-107,-0x1.eea9b2p-107,1
230352,-0x1.2c028p-130,0x1.292662p-4,-0x0p+0,-0x1.5c3cp-135,0
230358,-0x1.82f2fcp-127,-0x1.b0a376p-1,0x0p+0,0x1.46f89p-128,0
230370,0x1.9bdd3p-129,-0x1.05208cp-6,-0x0p+0,-0x1.a42p-136,0
230379,0x1.23f79p-128,-0x1.99d508p-3,-0x0p+0,-0x1.d3698p-132,0
230428,0x1.0d085ep-108,0x1.27ea98p-4,0x1.36fb3p-113,0x1.36fb2ep-113,1
230430,-0x1.178bp-129,0x1.8769cep+0,-0x0p+0,-0x1.ab68ep-130,0
230437,-0x1.8782b2p-107,0x1.08286ep+1,-0x1.93fc9ap-107,-0x1.93fc9cp-107,1
230449,0x1.ef091p-129,-0x1.5f17b6p-5,-0x0p+0,-0x1.5376p-134,0
230451,-0x1.ee2ba6p-106,-0x1.36ed4cp+0,0x1.2c1974p-106,0x1.2c1976p-106,1
230455,-0x1.32aa4ep-106,0x1.817806p-3,-0x1.cdc1e4p-110,-0x1.cdc1e6p-110,1
230465,0x1.d7a9c2p-111,-0x1.54db96p-2,-0x1.3a0106p-113,-0x1.3a0104p-113,1
230469,0x1.425de2p-111,-0x1.80b4fap-2,-0x1.e470bap-114,-0x1.e470b8p-114,1
230476,0x1.c51a6ep-121,-0x1.67e2a6p-1,-0x1.3e7c9ep-122,-0x1.3e7c9cp-122,1
230482,0x1.dfebe2p-122,-0x1.0a46c2p+0,-0x1.f32fc2p-123,-0x1.f32fcp-123,1
230483,-0x1.6f1d1ep-124,-0x1.f7ef1ep-6,0x0p+0,0x1.69548p-130,1
230512,-0x1.5adp-133,0x1.8ab96cp-2,-0x0p+0,-0x1.0b6p-135,0
230514,0x1.5db1cp-128,-0x1.e87442p-1,-0x0p+0,-0x1.4d9cdp-129,0
230519,0x1.5723e2p-107,-0x1.2e99cap+1,-0x1.959a7ap-107,-0x1.959a78p-107,1
230528,0x1.d47b06p-112,0x1.2214a8p-1,0x1.096c96p-113,0x1.096c94p-113,1
230532,0x1.6c7306p-111,0x1.627606p+0,0x1.f89f16p-112,0x1.f89f14p-112,1
230561,0x1.a70fp-133,-0x1.09c292p+0,-0x0p+0,-0x1.b732p-134,0
230573,0x1.6fa86ap-105,-0x1.496eaap+0,-0x1.d91e62p-106,-0x1.d91e5ep-106,1
230584,-0x1.157a34p-126,-0x1.27789ep-1,0x0p+0,0x1.40429p-128,1
230591,0x1.adc116p-119,-0x1.ec6226p-2,-0x1.9d49eep-121,-0x1.9d49ecp-121,1
230605,0x1.f1443ap-116,-0x1.848296p-1,-0x1.79548ap-117,-0x1.795488p-117,1
230606,0x1.74051ep-111,0x1.43f5bcp-1,0x1.d6c792p-113,0x1.d6c78ep-113,1
230631,-0x1.428ep-130,-0x1.0f419p-1,0x0p+0,0x1.55c7p-132,0
230659,0x1.46484ep-110,0x1.2d570ap+0,0x1.8011f6p-111,0x1.8011f4p-111,1
230668,-0x1.8dd69ep-112,0x1.6178b6p-1,-0x1.12a842p-113,-0x1.12a844p-113,1
230673,-0x1.919a8p-129,-0x1.977f32p+0,0x0p+0,0x1.3fa21p-129,0
230685,0x1.22130ap-111,0x1.4c4384p+0,0x1.787d34p-112,0x1.787d32p-112,1
230689,0x1.3628p-133,0x1.07f67ep+0,0x0p+0,0x1.3fcep-134,0
230701,0x1.c162aap-109,0x1.bd196ep-1,0x1.86aa94p-110,0x1.86aa92p-110,1
230713,0x1.ce1126p-122,0x1.765834p-8,0x0p+0,0x1.51d62p-130,1
230734,-0x1.36c792p-105,-0x1.969ddap-1,0x1.eda02p-107,0x1.eda022p-107,1
230752,0x1.6c2c2p-128,-0x1.a58ab4p+0,-0x0p+0,-0x1.2bd4fp-128,0
230759,0x1.0f9b52p-107,0x1.1c31fcp-1,0x1.2d855ap-109,0x1.2d8558p-109,1
230769,0x1.bd918p-130,0x1.a57ac4p-3,0x0p+0,0x1.6ecbp-133,0
230775,-0x1.3de29ap-106,0x1.832edp-6,-0x1.e0c7acp-113,-0x1.e0c7bp-113,1
230800,-0x1.061d16p-118,-0x1.5f1c1p+1,0x1.677e9ap-118,0x1.677e9cp-118,1
230861,0x1.2c703ap-125,0x1.f572dap-1,0x1.263f38p-126,0x1.263f36p-126,1
230877,-0x1.a147e6p-122,0x1.0f279ap-1,-0x1.b9fba8p-124,-0x1.b9fbaap-124,1
230888,-0x1.7b9618p-128,-0x1.1d20c8p-2,0x0p+0,0x1.a6c6cp-131,0
230902,0x1.3ccfcp-124,-0x1.8fccd4p-2,-0x0p+0,-0x1.eec548p-127,1
230923,0x1.09ad5ap-109,-0x1.c1d368p-2,-0x1.d2d474p-112,-0x1.d2d47p-112,1
230935,0x1.77545ap-105,-0x1.db29c8p-2,-0x1.5c5364p-107,-0x1.5c5362p-107,1
230941,-0x1.e30c8ep-125,-0x1.22fad8p-1,0x1.1286c4p-126,0x1.1286c6p-126,1
230944,-0x1.aff72ap-116,-0x1.565b3ep-1,0x1.20d712p-117,0x1.20d714p-117,1
230945,0x1.1c8536p-120,-0x1.5df50ap-2,-0x1.84f1f4p-123,-0x1.84f1f2p-123,1
230959,-0x1.a75542p-109,-0x1.4a826cp+0,0x1.1145c8p-109,0x1.1145cap-109,1
230961,0x1.38fd52p-122,0x1.62ecbcp-4,0x0p+0,0x1.b1efbcp-127,1
230966,-0x1.b5948p-130,0x1.9a512cp-2,-0x0p+0,-0x1.5ead8p-132,0
230967,0x1.1884d6p-117,-0x1.13fd58p+0,-0x1.2e6c5p-118,-0x1.2e6c4ep-118,1
230971,-0x1.30fa7p-128,-0x1.9eca9ep-2,0x0p+0,0x1.ee268p-131,0
230976,0x1.81e9c6p-110,-0x1.8fa7e8p+0,-0x1.2d3c3ep-110,-0x1.2d3c3cp-110,1
230995,-0x1.3d643ep-114,-0x1.7461d4p+0,0x1.cdaef2p-115,0x1.cdaef4p-115,1
231020,-0x1.bc696ep-105,0x1.8caf24p-1,-0x1.58518ep-106,-0x1.58519p-106,1
231021,-0x1.06d026p-122,-0x1.2f8d04p+1,0x1.37a12p-122,0x1.37a122p-122,1
231027,-0x1.276f1ap-110,-0x1.ae6bc2p-1,0x1.f0b8f6p-112,0x1.f0b8f8p-112,1
231030,0x1.e729f6p-116,-0x1.5b11e6p+0,-0x1.4a3bfap-116,-0x1.4a3bf8p-116,1
231053,0x1.cc3p-133,-0x1.110222p-2,-0x0p+0,-0x1.eacp-136,0
231055,0x1.ba2616p-121,0x1.06b10ap+0,0x1.c5b4c2p-122,0x1.c5b4cp-122,1
231063,-0x1.5dcd4ep-113,-0x1.b2ac64p-3,0x1.28f8ccp-116,0x1.28f8cep-116,1
231083,-0x1.cea0bap-123,0x1.07fdb4p-2,-0x1.dd1198p-126,-0x1.dd119ap-126,1
231130,-0x1.35914ep-117,0x1.1f515ep+0,-0x1.5b7048p-118,-0x1.5b704cp-118,1
231140,0x1.a6c22p-130,-0x1.4d7592p-3,-0x0p+0,-0x1.1356p-133,0
231142,0x1.639c52p-114,-0x1.a6d444p-2,-0x1.25ad48p-116,-0x1.25ad46p-116,1
231148,-0x1.821a32p-120,-0x1.2fa4c2p+1,0x1.c9f57cp-120,0x1.c9f57ep-120,1
231163,0x1.7a146p-130,-0x1.891ea6p+0,-0x0p+0,-0x1.224b6p-130,0
231203,-0x1.3104p-133,0x1.215832p+1,-0x0p+0,-0x1.58bfp-133,0
231214,-0x1.1b2ad6p-117,-0x1.b50b2cp+0,0x1.e36c78p-118,0x1.e36c7ap-118,1
231242,-0x1.e594e6p-105,0x1.502706p+0,-0x1.3eceb8p-105,-0x1.3ecebap-105,1
231250,-0x1.74a1cep-104,0x1.c3e3e4p-3,-0x1.48e26p-107,-0x1.48e262p-107,1
231260,-0x1.e4202p-130,0x1.1d3146p-4,-0x0p+0,-0x1.0daap-134,0
231263,0x1.bb0bap-117,0x1.3d7e82p-10,0x0p+0,0x1.12bc2cp-127,1
231287,-0x1.66728p-132,-0x1.5794f8p-1,0x0p+0,0x1.e114p-134,0
231298,0x1.363ff2p-108,-0x1.1f1132p+0,-0x1.5be68ap-109,-0x1.5be688p-109,1
231300,0x1.f42596p-116,0x1.89c6c4p-2,0x1.80a906p-118,0x1.80a904p-118,1
231301,-0x1.6339e6p-114,0x1.a0ad68p+0,-0x1.211758p-114,-0x1.21175ap-114,1
231303,-0x1.e391f4p-126,-0x1.42ec06p+0,0x1.42ec06p-126,0x1.30fdb6p-126,1
231315,-0x1.1e3002p-108,0x1.601e3cp-1,-0x1.89a3ccp-110,-0x1.89a3dp-110,1
231317,-0x1.caf8p-133,-0x1.3ec9c8p-1,0x0p+0,0x1.1dc4p-134,0
231318,0x1.11d7dep-125,0x1.f7054p-1,0x1.0d0a64p-126,0x1.0d0a62p-126,1
231338,0x1.83b2a4p-127,0x1.03f248p-2,0x0p+0,0x1.89acap-130,0
231339,0x1.b914dep-116,0x1.3f57c2p+0,0x1.131c1cp-116,0x1.131c1ap-116,1
231346,-0x1.35adp-133,0x1.eb3e3cp+0,-0x0p+0,-0x1.291ep-133,0
231350,-0x1.435a52p-125,0x1.d0d9p-3,-0x0p+0,-0x1.2592e8p-128,1
231351,-0x1.19513ep-111,0x1.8132c6p-1,-0x1.a74af6p-113,-0x1.a74afap-113,1
231353,0x1.0f548ep-107,0x1.fdd098p-5,0x1.0e2c1cp-112,0x1.0e2c1ap-112,1
231363,-0x1.086fp-132,0x1.be56aep+0,-0x0p+0,-0x1.cd0bp-133,0
231378,0x1.1f11f2p-105,-0x1.fabf38p-5,-0x1.1c1ff4p-110,-0x1.1c1ff2p-110,1
231385,0x1.223f16p-113,0x1.f1d48ap-3,0x1.1a36bcp-116,0x1.1a36bap-116,1
231425,-0x1.8cb5ap-127,-0x1.77c85ap-2,0x0p+0,0x1.232a4p-129,0
231442,0x1.db798p-131,0x1.ae33b6p-1,0x0p+0,0x1.8f83p-132,0
231443,-0x1.1352f2p-116,0x1.eb121ep-2,-0x1.0811c8p-118,-0x1.0811cap-118,1
231460,0x1.3927ccp-127,0x1.03152ap-2,0x0p+0,0x1.3ced2p-130,0
231461,-0x1.3874bap-117,-0x1.763632p-1,0x1.c8bcaap-119,0x1.c8bcaep-119,1
231497,-0x1.7ad608p-128,-0x1.c6ff6p-3,0x0p+0,0x1.50a8cp-131,0
231505,0x1.83d28p-132,0x1.745592p-2,0x0p+0,0x1.1a08p-134,0
231507,0x1.07fde2p-126,0x1.384f3ep-2,0x0p+0,0x1.420f2p-129,1
231509,-0x1.71e4c6p-109,0x1.48d2e2p-1,-0x1.db1ddp-111,-0x1.db1dd2p-111,1
231556,0x1.fd6418p-128,0x1.2350fcp-3,0x0p+0,0x1.21d5p-131,0
231580,0x1.353194p-127,-0x1.a91ec6p-1,-0x0p+0,-0x1.00ba38p-128,0
231609,-0x1.6a8e5ap-115,0x1.c33172p-1,-0x1.3f7f66p-116,-0x1.3f7f68p-116,1
231612,-0x1.bcbac2p-111,0x1.9e5c56p-3,-0x1.67eb36p-114,-0x1.67eb38p-114,1
231632,0x1.60721ap-104,-0x1.1dca02p-2,-0x1.897526p-107,-0x1.897524p-107,1
231643,0x1.377f36p-122,-0x1.a1aea2p+0,-0x1.fc3ab8p-123,-0x1.fc3ab4p-123,1
231650,-0x1.9bb532p-114,0x1.1a296ap+0,-0x1.c5c832p-115,-0x1.c5c834p-115,1
231652,-0x1.10b4fap-108,0x1.0cb81cp-1,-0x1.1e4194p-110,-0x1.1e4196p-110,1
231662,0x1.42f832p-104,-0x1.4e65eep-1,-0x1.a5e06cp-106,-0x1.a5e06ap-106,1
231666,-0x1.4e7e4p-129,0x1.baa422p-1,-0x0p+0,-0x1.212e4p-130,0
231684,-0x1.79898p-131,0x1.6c7602p-1,-0x0p+0,-0x1.0cbfp-132,0
231695,0x1.db3956p-112,0x1.88f5dep-4,0x1.6cbc1cp-116,0x1.6cbc1ap-116,1
231717,-0x1.fd1f48p-126,-0x1.0f2b96p-1,0x0p+0,0x1.0da564p-127,1
231721,-0x1.e2a88p-130,-0x1.f445p-3,0x0p+0,0x1.d79ap-133,0
231748,-0x1.20bbf4p-127,-0x1.6d1c2cp-1,0x0p+0,0x1.9bcbcp-129,0
231757,0x1.9cdf9ap-124,0x1.22c1aep-2,0x0p+0,0x1.d4eda8p-127,1
231765,-0x1.55c9bcp-126,-0x1.2c22dcp-3,0x0p+0,0x1.90b7p-130,1
231769,0x1.c6738p-132,-0x1.2f6b72p-1,-0x0p+0,-0x1.0d51p-133,0
231773,-0x1.f32d2p-128,-0x1.ff3ffap-3,0x0p+0,0x1.f272p-131,0
231787,0x1.b9adp-133,0x1.ad775p-3,0x0p+0,0x1.7278p-136,0
231797,0x1.12e9eap-118,-0x1.8c98a6p-2,-0x1.a9e5c6p-121,-0x1.a9e5c4p-121,1
231808,-0x1.7a627ap-125,0x1.4e1196p-4,-0x0p+0,-0x1.edc68p-130,1
231819,-0x1.79ee16p-109,-0x1.4f1bbcp-2,0x1.eeb77ep-112,0x1.eeb78p-112,1
231829,-0x1.c803f2p-124,-0x1.16474cp+0,0x1.efb348p-125,0x1.efb34ap-125,1
231847,-0x1.6cd9p-133,0x1.e382f4p-2,-0x0p+0,-0x1.588cp-135,0
231848,0x1.5b865p-128,0x1.680326p-3,0x0p+0,0x1.e8b9p-132,0
231860,0x1.f701p-133,0x1.bf5cacp-5,0x0p+0,0x1.b78p-138,0
231869,-0x1.27bddp-126,-0x1.9683fap-3,0x0p+0,0x1.d59f8p-130,1
231875,-0x1.f85018p-126,-0x1.8276e2p-4,0x0p+0,0x1.7ca98p-130,1
231905,-0x1.4b7bc2p-115,-0x1.e1fce4p-3,0x1.380d7cp-118,0x1.380d7ep-118,1
231921,0x1.82c982p-116,-0x1.055a24p+1,-0x1.8adfa4p-116,-0x1.8adfa2p-116,1
231929,0x1.6175a2p-121,-0x1.3d1044p+0,-0x1.b5c522p-122,-0x1.b5c51ep-122,1
231931,-0x1.215d62p-107,-0x1.3e0a98p-2,0x1.677df6p-110,0x1.677dfap-110,1
231939,0x1.27bb86p-110,0x1.edcebap-1,0x1.1d397ap-111,0x1.1d3978p-111,1
231942,0x1.d67c18p-126,-0x1.7997c6p-2,-0x0p+0,-0x1.5af9d8p-128,1
231965,-0x1.9fd1p-129,0x1.085342p+0,-0x0p+0,-0x1.ad56cp-130,0
231970,0x1.74b452p-104,0x1.9cc214p-2,0x1.2c7662p-106,0x1.2c766p-106,1
231988,-0x1.30bf26p-106,0x1.63a576p-2,-0x1.a75e06p-109,-0x1.a75e0ap-109,1
231997,0x1.d07c48p-128,0x1.9be25p-2,0x0p+0,0x1.75a9p-130,0
232001,-0x1.f2aadap-111,0x1.94d88ep-5,-0x1.8a4db8p-116,-0x1.8a4dbap-116,1
232041,0x1.29de52p-109,0x1.48a818p-2,0x1.7e6872p-112,0x1.7e686ep-112,1
232052,-0x1.62216ap-115,-0x1.55992cp-1,0x1.d88a62p-117,0x1.d88a66p-117,1
232065,-0x1.9245p-133,-0x1.663f02p-1,0x0p+0,0x1.1978p-134,0
232075,-0x1.93cep-133,-0x1.66c4fep-1,0x0p+0,0x1.1af4p-134,0
232099,0x1.545544p-125,0x1.3f3e52p-2,0x0p+0,0x1.a86918p-128,1
232101,0x1.d325bap-123,0x1.34d55ep-1,0x1.19c76p-124,0x1.19c75ep-124,1
232106,0x1.98b3b2p-111,0x1.858964p-3,0x1.36f234p-114,0x1.36f232p-114,1
232109,-0x1.0ed436p-111,-0x1.956de8p-1,0x1.ace9fcp-113,0x1.aceap-113,1
232114,0x1.5d99dep-125,-0x1.844c4ep+0,-0x1.0922b6p-125,-0x1.0922b4p-125,1
232120,0x1.1cc1cp-131,0x1.98d50ep-1,0x0p+0,0x1.c6c2p-133,0
232125,-0x1.2afc7p-128,0x1.b0bcfap-2,-0x0p+0,-0x1.f966cp-131,0
232128,-0x1.43c58p-132,-0x1.0d375ap+0,0x0p+0,0x1.547dp-133,0
232139,-0x1.18ed8p-132,0x1.d97686p-1,-0x0p+0,-0x1.03c9p-133,0
232146,0x1.1de8b2p-119,0x1.e16bd8p+0,0x1.0cd556p-119,0x1.0cd554p-119,1
232226,-0x1.c6d07ap-111,-0x1.f8e1d2p-1,0x1.c07ddp-112,0x1.c07dd2p-112,1
232228,0x1.3871p-133,0x1.def62ap-1,0x0p+0,0x1.2446p-134,0
232240,-0x1.a594b4p-123,-0x1.8905b6p-4,0x0p+0,0x1.439d58p-127,1
232245,-0x1.6c40dep-111,-0x1.b84838p+0,0x1.393b1ep-111,0x1.393b2p-111,1
232251,-0x1.039872p-126,-0x1.cd1638p+0,0x1.cd1638p-126,0x1.d39008p-127,1
232276,0x1.8959cap-116,0x1.4c682cp-1,0x1.fec084p-118,0x1.fec082p-118,1
232286,-0x1.b00582p-126,-0x1.c7ea24p-2,0x0p+0,0x1.80b278p-128,1
232291,-0x1.30d6a6p-115,0x1.df3f72p-1,-0x1.1d5694p-116,-0x1.1d5696p-116,1
232333,0x1.2cd9ap-128,0x1.827868p+0,0x0p+0,0x1.c62dap-129,0
232344,-0x1.a586dep-110,0x1.bb803ap-2,-0x1.6d21cp-112,-0x1.6d21c2p-112,1
232352,0x1.322e96p-105,-0x1.87b9bep-1,-0x1.d48352p-107,-0x1.d4834ep-107,1
232357,0x1.4c8bd2p-117,0x1.0aa8fp-2,0x1.5a64bep-120,0x1.5a64bcp-120,1
