worker,t0,t1,bytes
cpu,27623.749358,27623.750318,22020096
cpu,27623.750318,27623.751274,22020096
cpu,27623.751275,27623.752246,22020096
cpu,27623.752246,27623.753206,22020096
cpu,27623.753206,27623.754185,22020096
cpu,27623.754185,27623.755166,22020096
cpu,27623.755166,27623.756191,22020096
cpu,27623.756191,27623.757164,22020096
cpu,27623.757164,27623.758169,22020096
cpu,27623.758169,27623.759143,22020096
cpu,27623.759144,27623.760121,22020096
cpu,27623.760121,27623.761074,22020096
cpu,27623.761074,27623.762031,22020096
cpu,27623.762032,27623.762985,22020096
cpu,27623.762986,27623.763939,22020096
cpu,27623.763940,27623.764905,22020096
cpu,27623.764905,27623.765869,22020096
cpu,27623.765870,27623.766832,22020096
cpu,27623.766832,27623.767786,22020096
cpu,27623.767786,27623.768764,22020096
cpu,27623.768764,27623.769735,22020096
cpu,27623.769736,27623.770692,22020096
cpu,27623.770692,27623.771657,22020096
cpu,27623.771657,27623.772646,22020096
cpu,27623.772646,27623.773607,22020096
cpu,27623.773608,27623.774563,22020096
cpu,27623.774564,27623.775522,22020096
cpu,27623.775522,27623.776491,22020096
cpu,27623.776491,27623.777449,22020096
cpu,27623.777449,27623.778405,22020096
cpu,27623.778406,27623.779369,22020096
cpu,27623.779370,27623.780347,22020096
cpu,27623.780347,27623.781306,22020096
cpu,27623.781306,27623.782285,22020096
cpu,27623.782285,27623.783239,22020096
cpu,27623.783239,27623.784213,22020096
cpu,27623.784213,27623.785174,22020096
cpu,27623.785174,27623.786138,22020096
cpu,27623.786138,27623.787096,22020096
cpu,27623.787096,27623.788070,22020096
cpu,27623.788070,27623.789034,22020096
cpu,27623.789034,27623.790003,22020096
cpu,27623.790003,27623.790968,22020096
cpu,27623.790968,27623.791928,22020096
cpu,27623.791928,27623.792906,22020096
cpu,27623.792906,27623.793867,22020096
cpu,27623.793868,27623.794819,22020096
cpu,27623.794820,27623.795785,22020096
cpu,27623.795786,27623.796762,22020096
cpu,27623.796762,27623.797720,22020096
cpu,27623.797720,27623.798678,22020096
cpu,27623.798678,27623.799646,22020096
cpu,27623.799646,27623.800683,22020096
cpu,27623.800683,27623.801675,22020096
cpu,27623.801675,27623.802673,22020096
cpu,27623.802673,27623.803656,22020096
cpu,27623.803656,27623.804665,22020096
cpu,27623.804665,27623.805626,22020096
cpu,27623.805627,27623.806589,22020096
cpu,27623.806589,27623.807547,22020096
cpu,27623.807547,27623.808517,22020096
cpu,27623.808518,27623.809484,22020096
cpu,27623.809484,27623.810442,22020096
cpu,27623.810442,27623.811400,22020096
cpu,27623.811400,27623.812367,22020096
cpu,27623.812367,27623.813324,22020096
cpu,27623.813325,27623.814284,22020096
cpu,27623.814284,27623.815246,22020096
cpu,27623.815246,27623.816223,22020096
cpu,27623.816224,27623.817179,22020096
cpu,27623.817179,27623.818132,22020096
cpu,27623.818132,27623.819089,22020096
cpu,27623.819089,27623.820078,22020096
cpu,27623.820078,27623.821036,22020096
cpu,27623.821036,27623.821990,22020096
cpu,27623.821991,27623.822946,22020096
cpu,27623.822946,27623.823895,22020096
cpu,27623.823895,27623.824867,22020096
cpu,27623.824867,27623.825825,22020096
cpu,27623.825826,27623.826786,22020096
cpu,27623.826786,27623.827740,22020096
cpu,27623.827741,27623.828724,22020096
cpu,27623.828724,27623.829678,22020096
cpu,27623.829678,27623.830648,22020096
cpu,27623.830648,27623.831607,22020096
cpu,27623.831607,27623.832582,22020096
cpu,27623.832582,27623.833538,22020096
cpu,27623.833538,27623.834491,22020096
cpu,27623.834491,27623.835450,22020096
cpu,27623.835451,27623.836426,22020096
cpu,27623.836427,27623.837384,22020096
cpu,27623.837384,27623.838341,22020096
cpu,27623.838341,27623.839298,22020096
cpu,27623.839298,27623.840290,22020096
cpu,27623.840290,27623.841247,22020096
cpu,27623.841247,27623.842205,22020096
cpu,27623.842205,27623.843169,22020096
cpu,27623.843169,27623.844134,22020096
cpu,27623.844142,27623.845100,22020096
cpu,27623.845100,27623.846055,22020096
cpu,27623.846055,27623.847017,22020096
cpu,27623.847017,27623.847994,22020096
cpu,27623.847994,27623.849005,22020096
cpu,27623.849005,27623.849983,22020096
cpu,27623.849983,27623.850953,22020096
cpu,27623.850953,27623.851906,22020096
cpu,27623.851906,27623.852875,22020096
cpu,27623.852876,27623.853843,22020096
cpu,27623.853843,27623.854799,22020096
cpu,27623.854799,27623.855769,22020096
cpu,27623.855769,27623.856745,22020096
cpu,27623.856746,27623.857699,22020096
cpu,27623.857699,27623.858659,22020096
cpu,27623.858659,27623.859619,22020096
cpu,27623.859620,27623.860611,22020096
cpu,27623.860612,27623.861573,22020096
cpu,27623.861574,27623.862535,22020096
cpu,27623.862536,27623.863491,22020096
cpu,27623.863491,27623.864457,22020096
cpu,27623.864457,27623.865415,22020096
cpu,27623.865415,27623.866377,22020096
