repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,rand,4096,1,2021654528,2.0018,1009.92,240.8,4027.6,5398.2,0,0,nan,59.8,56.4,pm8550_tz
1,buffered,rand,4096,2,3686793216,2.0022,1841.38,439.0,4545.6,5789.2,0,0,nan,56.7,56.8,pm8550_tz
1,buffered,rand,4096,4,5171576832,2.0022,2582.99,615.8,6061.7,14453.6,0,0,nan,56.3,61.0,qmx-1-0
1,buffered,rand,4096,8,5314183168,2.0102,2643.67,630.3,12064.9,24551.1,0,0,nan,57.5,63.3,cpu-1-0-1
1,buffered,seq,64,1,3499950080,2.0004,1749.65,26697.5,13.2,51.1,0,0,nan,59.0,59.0,qmx-1-1
1,buffered,seq,64,2,4824563712,2.0115,2398.52,36598.5,15.9,71.1,0,0,nan,57.9,62.6,cpu-1-0-1
1,buffered,seq,64,4,5508825088,2.0026,2750.85,41974.7,15.4,536.6,0,0,nan,59.0,64.1,qmx-1-0
1,buffered,seq,64,8,5867569152,2.0195,2905.45,44333.6,19.6,859.7,0,0,nan,61.0,65.2,qmx-1-0
1,buffered,seq,128,1,3685351424,2.0116,1832.02,13977.2,23.6,70.3,0,0,nan,60.2,61.7,qmx-1-0
1,buffered,seq,128,2,4798939136,2.0005,2398.88,18302.0,31.2,96.7,0,0,nan,59.4,64.5,cpu-1-0-1
1,buffered,seq,128,4,5456920576,2.0019,2725.89,20796.9,31.0,3309.0,0,0,nan,60.2,65.2,qmx-1-0
1,buffered,seq,128,8,5996806144,2.0107,2982.48,22754.5,37.2,3328.5,0,0,nan,60.2,65.7,cpu-1-0-1
1,buffered,seq,256,1,3553886208,2.0150,1763.70,6728.0,49.5,138.0,0,0,nan,64.1,63.3,qmx-1-0
1,buffered,seq,256,2,5069078528,2.0021,2531.89,9658.4,61.8,1146.8,0,0,nan,60.6,64.9,cpu-1-0-1
1,buffered,seq,256,4,5676990464,2.0130,2820.14,10758.0,60.6,5106.1,0,0,nan,61.0,66.8,qmx-1-0
1,buffered,seq,256,8,6022496256,2.0170,2985.89,11390.3,79.3,8788.0,0,0,nan,62.1,66.8,qmx-1-0
1,buffered,seq,512,1,3483893760,2.0132,1730.51,3300.7,113.4,257.3,0,0,nan,62.5,61.4,qmx-1-0
1,buffered,seq,512,2,5054660608,2.0112,2513.28,4793.7,128.4,4228.4,0,0,nan,60.2,64.5,qmx-1-0
1,buffered,seq,512,4,5725749248,2.0037,2857.65,5450.5,129.4,11848.3,0,0,nan,61.4,68.3,qmx-1-0
1,buffered,seq,512,8,6007291904,2.0081,2991.46,5705.8,168.3,19900.5,0,0,nan,62.1,67.5,qmx-1-0
1,buffered,seq,1024,1,3687841792,2.0189,1826.65,1742.0,186.2,21654.8,0,0,nan,62.5,61.7,qmx-1-0
1,buffered,seq,1024,2,5226102784,2.0209,2586.02,2466.2,267.3,26249.7,0,0,nan,60.6,64.5,qmx-1-0
1,buffered,seq,1024,4,5922357248,2.0058,2952.68,2815.9,271.6,45913.9,0,0,nan,61.7,67.5,qmx-1-0
