worker,t0,t1,bytes
cpu,27458.684806,27458.685757,22020096
cpu,27458.685757,27458.686712,22020096
cpu,27458.686712,27458.687670,22020096
cpu,27458.687671,27458.688648,22020096
cpu,27458.688648,27458.689624,22020096
cpu,27458.689624,27458.690599,22020096
cpu,27458.690599,27458.691576,22020096
cpu,27458.691576,27458.692563,22020096
cpu,27458.692563,27458.693545,22020096
cpu,27458.693545,27458.694532,22020096
cpu,27458.694532,27458.695501,22020096
cpu,27458.695502,27458.696479,22020096
cpu,27458.696479,27458.697443,22020096
cpu,27458.697443,27458.698413,22020096
cpu,27458.698414,27458.699399,22020096
cpu,27458.699399,27458.700391,22020096
cpu,27458.700391,27458.701386,22020096
cpu,27458.701386,27458.702368,22020096
cpu,27458.702369,27458.703363,22020096
cpu,27458.703363,27458.704346,22020096
cpu,27458.704346,27458.705305,22020096
cpu,27458.705305,27458.706262,22020096
cpu,27458.706262,27458.707222,22020096
cpu,27458.707222,27458.708200,22020096
cpu,27458.708200,27458.709159,22020096
cpu,27458.709159,27458.710117,22020096
cpu,27458.710117,27458.711068,22020096
cpu,27458.711068,27458.712043,22020096
cpu,27458.712043,27458.712999,22020096
cpu,27458.712999,27458.713957,22020096
cpu,27458.713957,27458.714931,22020096
cpu,27458.714931,27458.715886,22020096
cpu,27458.715886,27458.716868,22020096
cpu,27458.716869,27458.717827,22020096
cpu,27458.717828,27458.718784,22020096
cpu,27458.718784,27458.719736,22020096
cpu,27458.719736,27458.720710,22020096
cpu,27458.720710,27458.721672,22020096
cpu,27458.721672,27458.722629,22020096
cpu,27458.722629,27458.723581,22020096
cpu,27458.723581,27458.724562,22020096
cpu,27458.724562,27458.725520,22020096
cpu,27458.725520,27458.726476,22020096
cpu,27458.726476,27458.727440,22020096
cpu,27458.727440,27458.728408,22020096
cpu,27458.728408,27458.729368,22020096
cpu,27458.729368,27458.730321,22020096
cpu,27458.730321,27458.731278,22020096
cpu,27458.731278,27458.732250,22020096
cpu,27458.732250,27458.733201,22020096
cpu,27458.733201,27458.734160,22020096
cpu,27458.734160,27458.735114,22020096
cpu,27458.735114,27458.736080,22020096
cpu,27458.736080,27458.737038,22020096
cpu,27458.737039,27458.737996,22020096
cpu,27458.737996,27458.738952,22020096
cpu,27458.738952,27458.739908,22020096
cpu,27458.739908,27458.740881,22020096
cpu,27458.740881,27458.741834,22020096
cpu,27458.741834,27458.742789,22020096
cpu,27458.742789,27458.743744,22020096
cpu,27458.743744,27458.744733,22020096
cpu,27458.744734,27458.745690,22020096
cpu,27458.745690,27458.746680,22020096
cpu,27458.746680,27458.747685,22020096
cpu,27458.747685,27458.748687,22020096
cpu,27458.748688,27458.749680,22020096
cpu,27458.749680,27458.750645,22020096
cpu,27458.750645,27458.751604,22020096
cpu,27458.751604,27458.752574,22020096
cpu,27458.752575,27458.753531,22020096
cpu,27458.753531,27458.754496,22020096
cpu,27458.754496,27458.755449,22020096
cpu,27458.755449,27458.756421,22020096
cpu,27458.756422,27458.757376,22020096
cpu,27458.757377,27458.758335,22020096
cpu,27458.758335,27458.759295,22020096
cpu,27458.759295,27458.760262,22020096
cpu,27458.760263,27458.761226,22020096
cpu,27458.761226,27458.762177,22020096
cpu,27458.762178,27458.763130,22020096
cpu,27458.763130,27458.764092,22020096
cpu,27458.764092,27458.765069,22020096
cpu,27458.765069,27458.766048,22020096
cpu,27458.766048,27458.767005,22020096
cpu,27458.767005,27458.767967,22020096
cpu,27458.767967,27458.768932,22020096
