# compute_trace v1
# model=/data/local/tmp/moe-stream/Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_threads=4 io_threads=4 o_direct=1 overlap=1
turn,phase,step,seq,layer,op,name,wall_ns,majflt
0,1,37,73,36,LAYER,blk.36,416614,0
0,1,37,74,36,LAYER,blk.36,2161667,0
0,1,37,75,37,LAYER,blk.37,330521,0
0,1,37,76,37,LAYER,blk.37,744896,0
0,1,37,77,38,LAYER,blk.38,336875,0
0,1,37,78,38,LAYER,blk.38,5638281,0
0,1,37,79,39,LAYER,blk.39,333854,0
0,1,37,80,39,LAYER,blk.39,754844,0
0,1,37,81,40,LAYER,blk.40,330417,0
0,1,37,82,40,LAYER,blk.40,2061458,0
0,1,37,83,41,LAYER,blk.41,329740,0
0,1,37,84,41,LAYER,blk.41,2035364,0
0,1,37,85,42,LAYER,blk.42,341667,0
0,1,37,86,42,LAYER,blk.42,5809323,0
0,1,37,87,43,LAYER,blk.43,350000,0
0,1,37,88,43,LAYER,blk.43,789218,0
0,1,37,89,44,LAYER,blk.44,344219,0
0,1,37,90,44,LAYER,blk.44,808542,0
0,1,37,91,45,LAYER,blk.45,344531,0
0,1,37,92,45,LAYER,blk.45,785469,0
0,1,37,93,46,LAYER,blk.46,4389271,0
0,1,37,94,46,LAYER,blk.46,801041,0
0,1,37,95,47,LAYER,blk.47,331407,0
0,1,37,96,-1,LAYER,post,18584583,0
0,1,38,0,-1,LAYER,pre,52083,1
0,1,38,1,0,LAYER,blk.0,352136,0
0,1,38,2,0,LAYER,blk.0,11134739,0
0,1,38,3,1,LAYER,blk.1,366302,0
0,1,38,4,1,LAYER,blk.1,7889792,0
0,1,38,5,2,LAYER,blk.2,346458,0
0,1,38,6,2,LAYER,blk.2,7396407,0
0,1,38,7,3,LAYER,blk.3,365208,0
0,1,38,8,3,LAYER,blk.3,7639219,0
0,1,38,9,4,LAYER,blk.4,362187,0
0,1,38,10,4,LAYER,blk.4,4231511,0
0,1,38,11,5,LAYER,blk.5,358385,0
0,1,38,12,5,LAYER,blk.5,3575990,0
0,1,38,13,6,LAYER,blk.6,344375,0
0,1,38,14,6,LAYER,blk.6,3130677,0
0,1,38,15,7,LAYER,blk.7,346094,0
0,1,38,16,7,LAYER,blk.7,4195468,0
0,1,38,17,8,LAYER,blk.8,341250,0
0,1,38,18,8,LAYER,blk.8,2770313,0
0,1,38,19,9,LAYER,blk.9,360521,0
0,1,38,20,9,LAYER,blk.9,3966770,0
0,1,38,21,10,LAYER,blk.10,358073,0
0,1,38,22,10,LAYER,blk.10,4258125,0
0,1,38,23,11,LAYER,blk.11,344479,0
0,1,38,24,11,LAYER,blk.11,1957032,0
0,1,38,25,12,LAYER,blk.12,348854,0
0,1,38,26,12,LAYER,blk.12,5299635,0
0,1,38,27,13,LAYER,blk.13,1402448,0
0,1,38,28,13,LAYER,blk.13,6323386,0
0,1,38,29,14,LAYER,blk.14,365573,0
0,1,38,30,14,LAYER,blk.14,7877239,0
0,1,38,31,15,LAYER,blk.15,353854,0
0,1,38,32,15,LAYER,blk.15,3824115,0
0,1,38,33,16,LAYER,blk.16,357031,0
0,1,38,34,16,LAYER,blk.16,7191042,0
0,1,38,35,17,LAYER,blk.17,355521,0
0,1,38,36,17,LAYER,blk.17,3982187,0
0,1,38,37,18,LAYER,blk.18,360156,0
0,1,38,38,18,LAYER,blk.18,1638386,0
0,1,38,39,19,LAYER,blk.19,365469,0
0,1,38,40,19,LAYER,blk.19,3083489,0
0,1,38,41,20,LAYER,blk.20,353594,0
