t,pswpin,pswpout,pgmajfault,memavail_kb,swapfree_kb,bmoe_pid,bmoe_minflt,bmoe_majflt,bmoe_cpu_ticks,thermal_status,cap0,cap6
1789633077,193536341,289869823,201659699,4748628,10090872,,,,,1,1900800,1651200
1789633082,193536608,289870136,201659979,4757900,10090640,,,,,1,1900800,1651200
1789633087,193536637,289870136,201660008,4759012,10090640,,,,,1,1900800,1651200
1789633092,193538564,289877747,201661987,4780912,10067928,,,,,1,1900800,1651200
1789633097,193538827,289880402,201662254,4780828,10058220,,,,,1,1900800,1651200
1789633103,193539129,289881422,201662560,4773912,10055700,,,,,1,1900800,1651200
1789633108,193539226,289881422,201662657,4772748,10055996,,,,,1,1900800,1651200
1789633113,193540203,289886434,201663684,4785492,10039356,,,,,1,1900800,1651200
1789633118,193541503,289895178,201665046,4769896,10008124,,,,,1,1900800,1651200
1789633123,193541654,289895178,201665197,4767568,10008892,,,,,1,1900800,1651200
1789633128,193541693,289896436,201665236,4775852,10003772,,,,,1,1900800,1651200
1789633133,193542946,289897849,201666501,4785296,10003004,,,,,1,1900800,1651200
1789633138,193542988,289897849,201666543,4816932,10003004,,,,,1,1900800,1651200
1789633144,193543387,289899501,201666943,4793908,9997916,,,,,1,1900800,1651200
1789633149,193543562,289947751,201668513,4917020,9835700,14189,78761,316,338,1,1900800,1651200
1789633154,193544067,290029435,201670359,5141080,9505204,14189,148136,316,768,1,1900800,1651200
1789633159,193544284,290138022,201672092,5448516,9067980,14189,199728,316,1200,1,1900800,1651200
1789633164,193548616,290223647,201678115,5656180,8735844,14189,269275,316,1609,1,1900800,1651200
1789633169,193555999,290334430,201689359,5788812,8293320,14189,353627,4777,2695,1,1900800,1651200
1789633174,193564594,290430422,201703047,6237112,7765512,14189,366386,9777,4170,1,1900800,1651200
1789633180,193586872,290491060,201777774,4398640,7846800,14189,841088,63542,5388,1,1900800,1651200
1789633185,193659481,290711205,201851057,1631724,7075556,14189,2097162,115771,7262,1,1900800,1651200
1789633190,193803517,290718966,201996376,1811416,8517748,14189,3697831,218965,9066,1,1900800,1651200
1789633195,193814541,290727200,202008010,1798640,8532988,14189,5155306,219478,10919,1,1900800,1651200
1789633200,193833610,290727200,202028029,1726520,8628040,14189,6343330,220192,12742,1,1900800,1651200
1789633205,193841939,290735471,202037008,1762784,8633776,14189,7902803,220713,14568,2,1747200,1651200
1789633210,193871561,290751208,202068057,1685172,8701412,14189,9133043,221225,16331,2,1747200,1651200
1789633215,193880814,290769917,202078058,1701772,8664900,14189,10322556,221789,18101,2,1747200,1651200
1789633220,193884923,290773240,202082776,1692400,8670124,14189,11938236,222374,19992,2,1747200,1651200
1789633225,193887506,290773240,202086057,1675272,8683824,14189,13419684,223080,21876,2,1747200,1651200
1789633230,193895434,290773240,202095672,1630708,8722128,14189,14940660,223687,23765,2,1747200,1651200
1789633236,193897664,290773240,202098633,1622156,8732376,14189,16332829,224733,25646,2,1747200,1651200
1789633241,193914582,290779030,202116407,6433824,9135752,,,,,2,1747200,1651200
1789633246,193934804,290779030,202136764,6338384,9236628,,,,,2,1747200,1651200
1789633251,193936646,290779030,202138656,6401012,9244704,,,,,2,1747200,1651200
1789633256,193949405,290779030,202151778,6350772,9301236,,,,,2,1747200,1651200
1789633261,193953247,290779030,202155699,6329856,9317364,,,,,2,1747200,1651200
1789633266,193956186,290779030,202158808,6320636,9328628,,,,,2,1747200,1651200
1789633271,193958892,290779030,202161600,6311232,9339724,,,,,2,1747200,1651200
1789633277,193959105,290779030,202161817,6306808,9340816,,,,,2,1747200,1651200
1789633282,193959561,290780779,202162284,6313076,9335796,,,,,2,1747200,1651200
1789633287,193961580,290780779,202164373,6296372,9344444,,,,,2,1747200,1651200
1789633292,193963594,290780779,202166450,6283040,9352492,,,,,2,1747200,1651200
1789633297,193965220,290781836,202168233,6260472,9354676,,,,,2,1747200,1651200
1789633302,193965693,290781836,202168709,6256600,9356220,,,,,2,1747200,1651200
1789633308,193969532,290781836,202172833,6214096,9368536,,,,,1,1900800,1651200
1789633313,193971203,290783721,202174540,6204012,9371428,,,,,1,1900800,1651200
1789633318,193971868,290783721,202175225,6208304,9375024,,,,,1,1900800,1651200
1789633323,193972743,290786080,202176106,6206000,9369392,,,,,1,1900800,1651200
1789633328,193973361,290786080,202176742,6212956,9371184,,,,,1,1900800,1651200
1789633333,193973608,290787029,202176989,6209524,9368112,,,,,1,1900800,1651200
1789633338,193974040,290787029,202177451,6211856,9370168,,,,,1,1900800,1651200
1789633343,193974251,290787029,202177662,6208336,9370956,,,,,1,1900800,1651200
1789633349,193998042,290787975,202202840,6002428,9472076,,,,,1,1900800,1651200
1789633354,193999022,290787975,202203843,6000584,9476008,,,,,1,1900800,1651200
1789633359,193999541,290787975,202204364,5991328,9478056,,,,,1,1900800,1651200
1789633364,194000982,290787975,202205863,5996348,9483968,,,,,1,1900800,1651200
1789633369,194006433,290787975,202211814,5946936,9505812,,,,,1,1900800,1651200
1789633374,194006714,290788444,202212110,5936220,9505060,,,,,1,1900800,1651200
1789633379,194007333,290788444,202212759,5930744,9506644,,,,,1,1900800,1651200
1789633384,194008647,290788444,202214354,5863048,9512560,,,,,1,1900800,1651200
1789633390,194008882,290788444,202214591,5863188,9513104,,,,,1,1900800,1651200
1789633395,194009165,290788444,202214877,5854860,9514640,,,,,1,1900800,1651200
1789633400,194009456,290788444,202215174,5860704,9516464,,,,,1,1900800,1651200
1789633405,194009615,290788444,202215333,5869200,9516976,,,,,1,1900800,1651200
1789633410,194009916,290788444,202215649,5874304,9518300,,,,,1,1900800,1651200
1789633415,194010373,290788444,202216144,5867920,9520348,,,,,1,1900800,1651200
1789633421,194010624,290788444,202216410,5866584,9521116,,,,,1,1900800,1651200
1789633426,194010717,290788444,202216503,5865200,9521372,,,,,1,1900800,1651200
1789633431,194011197,290788444,202216990,5864308,9523508,,,,,1,1900800,1651200
1789633436,194012539,290788444,202218850,5796684,9528380,,,,,1,1900800,1651200
1789633441,194014768,290788444,202221416,5753640,9537420,,,,,1,1900800,1651200
1789633446,194016780,290788444,202223501,5735432,9544588,,,,,1,1900800,1651200
1789633451,194017182,290788444,202223908,5726784,9546404,,,,,1,1900800,1651200
1789633457,194017340,290788444,202224066,5721032,9546948,,,,,1,1900800,1651200
1789633462,194019814,290788444,202226571,5728896,9566180,,,,,1,1900800,1651200
1789633467,194019930,290788444,202226687,5730112,9566692,,,,,1,1900800,1651200
1789633472,194021415,290797306,202228173,5721988,9534180,,,,,1,1900800,1651200
1789633477,194021890,290797306,202228668,5723756,9536900,,,,,1,1900800,1651200
1789633482,194023305,290802451,202230117,5713220,9521284,,,,,1,1900800,1651200
1789633487,194023411,290802451,202230223,5715056,9521540,,,,,1,1900800,1651200
1789633492,194023640,290802451,202230455,5709400,9522564,,,,,1,1900800,1651200
1789633497,194025954,290802451,202232817,5686664,9536428,,,,,1,1900800,1651200
1789633503,194027992,290805752,202234899,5747948,9530680,,,,,1,1900800,1651200
1789633508,194028217,290806906,202235124,5764036,9527352,,,,,1,1900800,1651200
1789633513,194028404,290806906,202235311,5769156,9527864,,,,,1,1900800,1651200
1789633518,194028494,290808710,202235401,5768352,9520696,,,,,1,1900800,1651200
1789633523,194029122,290808710,202236035,5771524,9523512,,,,,1,1900800,1651200
1789633528,194029243,290808710,202236159,5775376,9523776,,,,,1,1900800,1651200
1789633533,194029354,290808710,202236270,5776284,9524544,,,,,1,1900800,1651200
